name	ratings	date	helpful	comment
민정수	1	2021-05-30	101	진짜 최악이고 끔찍하네요ㅋㅋㅋㅋ 매장에서 조리가 끝나도 배달 파트너 배정이 안되면 아예 그냥 손빨고 기다리는 수밖에없네요. 뭐 배정이 늦어진다 이런걸 알려주는 것도 아니고. 두번이나 겪으니 참 어이가없습니다. 5천원 할인쿠폰 준다는데 이거만 쓰고 바로 앱삭제하고 손절치려구요 ^^
YG MAN M	1	2021-06-07	54	젓가락 숟가락 방침이 정해졌으면 홍보를 해야 할꺼 아니야!!! 아님 결제 버턴 근처에 보이게 하던가!! 바로 결제가 되는데 누가 아냐고?? 계도기간을 주던가 아님 구매자가 알아보게 만들던가!! 이런거에 사장과 싸워야 하겠냐고?? 사장도 센스가 있으면 밖에서 먹는데 젓가락 숟가락이 어디 있냐? 알고 알아서 넣어야하는거 아니냐?
cobs j	5	2021-05-26	117	다른앱들은 배달시간을 대략적인 시간만 기재하고 20분 일찍오거나 혹은 늦는시간이 불분명합니다. 쿠팡이츠는 배달현황을 보면 실시간으로 배달기사님 위치를 볼 수 있어 도착 1~2분전에 미리 나가서 받을 수 있는 장점이 있습니다. 또한 앱내에서 음식점 거리라던가 배달비를 메인으로 한눈에 볼수있어 좋습니다. 음식점 거리는 배달음식이 도착시간에 따라서 식느냐 마느냐를 결정하는 중요한 포인트 이기때문에 중요하다고 생각해요.
HR Kim	4	2021-06-03	17	이게 단독 배달이라 좋긴한데 처음 주문수락부터 배달까지 시간이 자꾸 바뀌고 추가됨 평균 30분인데 10분쯤 남을땐 어김없이 다시 30분으로 늘어난다. 그러다보니 총 시간이 막 헷갈려 이젠 올때 까지 그러려니 한다
jjang	5	2021-05-25	71	"다 좋은데 사용하기가 좀 불편해요 타 배달앱은 메뉴나 식당정보들을 탭 한번으로도 쉽게 쉽게 볼 수 있는데 한식, 분식, 피자로 카테고리를 분류한 것은 좋으나 그 카테고리를 선택하면 노출이 안되는 매장이 더 많습니다ㅠ 경쟁사 어플을 잘 참고해서 좀 더 단순하게 사용하기 쉽게 만들어주시면 좋겠어요. 그리고 가게사장님이 리뷰에 답글을 못 해주시다보니 뭐랄까 리뷰하는 재미가 좀 없어서 너무 아쉬워요ㅠ 음식사진이나ㅜ설명도 따로 볼 슈 없는 점도요.. 이것들만 제외하면 실시간 배달정보를 볼 수 있는 점, 한 집에 한 집 배달인 점 좋습니다!"
이승룡	1	2021-06-09	9	배달사고가 많습니다. 배달 어플 다 써보고 똑같은 주소로 주문하고 있는데 이상하게 쿠팡이츠만 다른곳에 배달가는 배달사고가 생기네요 집이 찾기 어려운 곳도 아닌데 말이죠
꿀한통설탕두스푼	5	2021-06-01	29	배달하시는분 경로를 실시간으로 볼수있다는 점때문에 이거씁니다. 등록되는매장도 많아지고 다른배달보다 메리트있어서 잘쓰고있어요!!
로로미	3	2021-05-22	159	"배달상황 볼수있는건 좋지만 라이더는 문제가 있다 집주소 제대로 못찾아서 오배송하거나,계속 헤매거나, 배달요청사항 제대로 못보는사람이 수두룩하다 집주소 못찾겠으면 전화를 하던지, 지도를 잘보던지... 그피해는 고객이 그대로 받고있다 길도 잘모르는 라이더 아무나 쓰는건 진짜 별로다"
민트초코코딱지	3	2021-06-10	1	다 좋은데요. 음식 배달은 빠르게와야 하는데 실거리 2키로 이상은 자전거 배달로 안했으면 좋겠습니다. 밖에 오래 있어서 음식도 식고요
Eunyoung Lim	1	2021-06-06	15	몇 번 사용했는데 넘 화가나서 댓글답니다. 집에서 461미터거리를 자동차배차를 해서 걸어서도 5분이면 올껄 배달이 20분 걸리네요. 음식은 다 식고 식당에 항의 할 수도 배송하시는 분께 항의할 수도 없고 쿠팡에 항의하는곳이 없어 여기 납깁니다. 이러면 쿠팡이츠를 쓸 이유가 없을것 같습니다.
poniuy	1	2021-06-09	90	"배달원 건당 보수가 2500원이랍니다. 중복으로 콜 못받아서 빠른게 장점이었는데 그만한 보수는 주지 않는 거네요. 게다가 비가 많이 왔는데도 할증이 얼마 붙지 않아서 파업중. 파업이라기보다 벌이가 안되니 다른 플랫폼으로 옮긴거죠 업주들 한테는 건당 5000원씩 떼가고, 배달팁은 2500원 밖에 안주니 쿠팡 쪽은 개이득이고, 소비자들한테 쿠폰 좀 주겠네요"
문찬일	1	2021-06-03	7	아오 계속 빠른 한집배달이라고 광고로 거짓말이나하네 처음주문하면 30분내로 온다더니 또 30분... 이제 빨리와도 한시간이네요 배달비는 다 받아먹고 빠른배달은 개뿔 손절칩니다 그냥 일반배달보다 느려졌어요
?집순이	5	2021-05-23	72	"위치뜬다는게 큰 메리트이고 픽업되면 알림뜨는 것도 좋음. 알람안떠서 예상시간만 보고 뒹굴거렸다가 소리 못들었다고 다른 배달원들한테 욕먹은 적이 몇번 있는데, 이 앱은 그럴 걱정없어서 좋음ㅎ 배고플때 어디쯤왔나 확인하는 재미도 있고 쿠폰도 널널해서 굿임. 다만, 음식점들이 아직 들어와있는게 얼마 없는건 아쉬운듯. 좀 더 네임드가 되길 바람!"
hiyou rmagidch	5	2021-06-06	20	배송도 빠르고 다른앱에서는 배송이 안되는 곳도 다 배송되는데 한가지 아쉬운점은 리뷰를 쓰면 포인트나 옵션 메뉴를 다음 배송때 받으면 좀더 리뷰를 정성스럽게 쓸거 같아요~
jang joonhee	1	2021-05-30	89	사기당한기분입니다.업체측 연락와서 치타배달 등록업체인데 배달원 안구해진다고 취소하고 다른경로로 배달결재 하네요. 갑자기 안좋아진 날씨 탓에 이해하려 해도 할인쿠폰 적용한것도 안되고 생돈 다 내는 기분이라 좀 그렇네요. 앞으로 쓸일 없을듯합니다.
팍진서르	4	2021-05-23	66	몇주간 사용해보니 실시간으로 해당 주문을 받았는지 픽업을 했는지 거의 다왔는지 알려줘서 좋은 것 같습니다. 그외 조금 아쉬운점이 배민이나 요기요는 다양한 프로모션등 할인 시스템이 살짝은 부족하지 않나 느끼지만 이점은 차후 진행 할것 같긴 하네요.
Chung-Suh Ku	5	2021-05-23	16	배달 과정과 위치를 확인할 수 있어서 정말 편리함. 다만 주문하기 누르면 바로 음식 제작으로 들어가서 주문전 선택한 내용 보려면 조심해야함.
김수민	1	2021-05-30	16	아니 기사가 없으면 주문이 안되게끔 해두셔야죠 기사가 없어서 주문은 받았는데 음식이 안오고 있다는게 말이 되나요? 그리고 가끔씩 배달 현황이 실시간으로 안보일때가 있는데 이럴거면 다른거 쓰죠
Choong Hee Lee	1	2021-05-30	26	"오늘 세번째로 예상 시간 보다 훨씬 더 기다려야 했습니다. 고객센터 연결은 안되고, 직접 음식을 가지러 갔었고, 배달팁 환불은 따로 내일 전화해야 한다고 합니다."
쩨	5	2021-05-20	140	직관적으로 배송과정을 알수 있게 한게 신의한수이듯 ?? 1인1배달이라 음식이 2~3군데 들려서오는 배민에서 오는거보다 빨리와서 좋음. 배민도 1인1배달 도입한다고들었는데.. 일단은 지금 쿠팡이츠 만족합니다. 어디쯤오고있다가 보이니까 지루하지않게 지도보면서 기다리는 재미가 있어요. 이거 쓰다 다른배달앱 사용못하겠음.
김령동	1	2021-05-24	21	안그래도 늦게 점심을 시켜서 너무 힘든데 기사님들이 너무 길을 못찾으세요 ㅠㅠ전화해서 알려드리려해도 바쁘셔서 그런지 잘 못들으시구요 지금 1시간4분지났는데 안왔네요....진짜 비추입니다
조용민	1	2021-05-29	26	배달 지연되면 취소도 안되고 고객센터는 전화도 안받고 그저 사용자만 앉아서 발동동구르다 피해봐야 하는 최악의 사용자 경험. 심지어 클레임할 창구조차 없어 이곳에 글 남김
이수빈	3	2021-05-30	10	배달시간 거의 안맞아요... 35분걸린대서 시켰다가 65분만에 받았네요..ㅠ 지방사람들은 굳이? 쓸 필요없는거 같아요.......ㅠㅠㅠ
아래미	1	2021-06-03	12	배달기사 배치 안되서 1시간 넘게기다렸습니다.. 시스템 개선이 필요할거 같아요 몇번 시켰는데 치타배달도 무료배달 둘다 늦어요 걍 배달의 민족 쓰세요 어플 리뷰 처음쓰는데 너무 화납니다
곽다영	5	2021-06-04	8	"다른배달어플과 다르게 무료배달도 많고, 또 그중에서도 실질적으로 시켜먹기좋은 밥종류 디저트류도 많아서 정말 좋아요! 배달원 위치확인도 돼서 좋습니다 ㅎㅎ"
DG x	1	2021-05-20	88	"주소, 길안내, 요청사항에 설명해놔도 확인을 안하는지 매번 딴데가서 헤맴. 벨 좀 누르지 말라는데 오지게 쳐누르고 10분거리를 한시간동안 빙빙 돌질않나 자전거 타고 하루종일 오고있질 않나.. 그러면서 전문 배달업체보다 비쌈. 업주나 고객이나 쿠팡이츠 이용해서 득볼게 전혀 없음"
최민우	1	2021-06-04	5	"결제 수단 고른 적도 없는데 멋대로 계좌이체 시키네요 ㅋ 카드결제하고 싶었는데 ㅋ 왜 이따위죠? 쿠팡 기본 결제 옵션도 카드이고, 첫 이용이었는데 기분만 나쁘네요"
hoon0654	2	2021-05-26	14	"배달비 가지고 장난좀 안했으면 좋겠습니다. 주문비용에 따라 무료배달이랑 추가비용부과가 나뉠꺼면 검색할때 걸러지게라도 하던가, 무료배달 검색해봐도 실싱 죄다 배달비 붙은거나 마찬가지인데 신경 좀 써주셨으면 하네요"
no mi	5	2021-06-08	2	지금까지 심하게 지연되거나.그런적 한번도없는데... 음식배달 어플중 제일 좋네요. 배달라이더 위치도 실시간 볼 수 있어서 좋구요
미소	5	2021-06-01	18	아들 덕분에 뒤늦게 알게되어 잘 사용하고 있습니다.단지 배달 음식은 쓰레기가 많이나와 지구에게 죄짓는거 같아 늘 마음이 아픕니다 서로 바쁘게 사니 안시켜먹을수도 없는 현실이ㅡㅡ 가족이 모두 쿠팡이츠 사용합니다
박으뜸	4	2021-05-30	9	밤에 배달시킬 때 지금 이용할 수 있는 가게만 뜨게 해줬으면 좋겠습니다. 닫은 매장도 떠서 보기가 힘들어서 다른 앱으로 시키거든요.
